"Id","Weekly_Sales"
"1_3_2012-11-02",15352.7612840963
"1_3_2012-11-09",15352.7612840963
"1_3_2012-11-16",15352.7612840963
"1_3_2012-11-23",16158.2026172407
"1_3_2012-11-30",15352.7612840963
"1_3_2012-12-07",15537.0433847971
"1_3_2012-12-14",15537.0433847971
"1_3_2012-12-21",15537.0433847971
"1_3_2012-12-28",16342.4847179415
"1_3_2013-01-04",13373.7400810343
"1_3_2013-01-11",13373.7400810343
"1_3_2013-01-18",13373.7400810343
"1_3_2013-01-25",13373.7400810343
"1_3_2013-02-01",13558.0221817351
"1_3_2013-02-08",14363.4635148795
"1_3_2013-02-15",13558.0221817351
"1_3_2013-02-22",13558.0221817351
"1_3_2013-03-01",13742.3042824359
"1_3_2013-03-08",13742.3042824359
"1_3_2013-03-15",13742.3042824359
"1_3_2013-03-22",13742.3042824359
"1_3_2013-03-29",13742.3042824359
"1_3_2013-04-05",13926.5863831367
"1_3_2013-04-12",13926.5863831367
"1_3_2013-04-19",13926.5863831367
"1_3_2013-04-26",13926.5863831367
"1_3_2013-05-03",14110.8684838375
"1_3_2013-05-10",14110.8684838375
"1_3_2013-05-17",14110.8684838375
"1_3_2013-05-24",14110.8684838375
"1_3_2013-05-31",14110.8684838375
"1_3_2013-06-07",14295.1505845383
"1_3_2013-06-14",14295.1505845383
"1_3_2013-06-21",14295.1505845383
"1_3_2013-06-28",14295.1505845383
"1_3_2013-07-05",14479.432685239
"1_3_2013-07-12",14479.432685239
"1_3_2013-07-19",14479.432685239
"1_3_2013-07-26",14479.432685239
"1_4_2012-11-02",15464.596094857
"1_4_2012-11-09",15464.596094857
"1_4_2012-11-16",15464.596094857
"1_4_2012-11-23",16270.0374280014
"1_4_2012-11-30",15464.596094857
"1_4_2012-12-07",15648.8781955578
"1_4_2012-12-14",15648.8781955578
"1_4_2012-12-21",15648.8781955578
"1_4_2012-12-28",16454.3195287022
"1_4_2013-01-04",13485.5748917951
"1_4_2013-01-11",13485.5748917951
"1_4_2013-01-18",13485.5748917951
"1_4_2013-01-25",13485.5748917951
"1_4_2013-02-01",13669.8569924958
"1_4_2013-02-08",14475.2983256402
"1_4_2013-02-15",13669.8569924958
"1_4_2013-02-22",13669.8569924958
"1_4_2013-03-01",13854.1390931966
"1_4_2013-03-08",13854.1390931966
"1_4_2013-03-15",13854.1390931966
"1_4_2013-03-22",13854.1390931966
"1_4_2013-03-29",13854.1390931966
"1_4_2013-04-05",14038.4211938974
"1_4_2013-04-12",14038.4211938974
"1_4_2013-04-19",14038.4211938974
"1_4_2013-04-26",14038.4211938974
"1_4_2013-05-03",14222.7032945982
"1_4_2013-05-10",14222.7032945982
"1_4_2013-05-17",14222.7032945982
"1_4_2013-05-24",14222.7032945982
"1_4_2013-05-31",14222.7032945982
"1_4_2013-06-07",14406.985395299
"1_4_2013-06-14",14406.985395299
"1_4_2013-06-21",14406.985395299
"1_4_2013-06-28",14406.985395299
"1_4_2013-07-05",14591.2674959997
"1_4_2013-07-12",14591.2674959997
"1_4_2013-07-19",14591.2674959997
"1_4_2013-07-26",14591.2674959997
"1_5_2012-11-02",15576.4309056177
"1_5_2012-11-09",15576.4309056177
"1_5_2012-11-16",15576.4309056177
"1_5_2012-11-23",16381.8722387621
"1_5_2012-11-30",15576.4309056177
"1_5_2012-12-07",15760.7130063185
"1_5_2012-12-14",15760.7130063185
"1_5_2012-12-21",15760.7130063185
"1_5_2012-12-28",16566.1543394629
"1_5_2013-01-04",13597.4097025558
"1_5_2013-01-11",13597.4097025558
"1_5_2013-01-18",13597.4097025558
"1_5_2013-01-25",13597.4097025558
"1_5_2013-02-01",13781.6918032565
"1_5_2013-02-08",14587.1331364009
"1_5_2013-02-15",13781.6918032565
"1_5_2013-02-22",13781.6918032565
"1_5_2013-03-01",13965.9739039573
"1_5_2013-03-08",13965.9739039573
"1_5_2013-03-15",13965.9739039573
"1_5_2013-03-22",13965.9739039573
"1_5_2013-03-29",13965.9739039573
"1_5_2013-04-05",14150.2560046581
"1_5_2013-04-12",14150.2560046581
"1_5_2013-04-19",14150.2560046581
"1_5_2013-04-26",14150.2560046581
"1_5_2013-05-03",14334.5381053589
"1_5_2013-05-10",14334.5381053589
"1_5_2013-05-17",14334.5381053589
"1_5_2013-05-24",14334.5381053589
"1_5_2013-05-31",14334.5381053589
"1_5_2013-06-07",14518.8202060597
"1_5_2013-06-14",14518.8202060597
"1_5_2013-06-21",14518.8202060597
"1_5_2013-06-28",14518.8202060597
"1_5_2013-07-05",14703.1023067604
"1_5_2013-07-12",14703.1023067604
"1_5_2013-07-19",14703.1023067604
"1_5_2013-07-26",14703.1023067604
"1_6_2012-11-02",15688.2657163785
"1_6_2012-11-09",15688.2657163785
"1_6_2012-11-16",15688.2657163785
"1_6_2012-11-23",16493.7070495228
"1_6_2012-11-30",15688.2657163785
"1_6_2012-12-07",15872.5478170792
"1_6_2012-12-14",15872.5478170792
"1_6_2012-12-21",15872.5478170792
"1_6_2012-12-28",16677.9891502236
"1_6_2013-01-04",13709.2445133165
"1_6_2013-01-11",13709.2445133165
"1_6_2013-01-18",13709.2445133165
"1_6_2013-01-25",13709.2445133165
"1_6_2013-02-01",13893.5266140173
"1_6_2013-02-08",14698.9679471616
"1_6_2013-02-15",13893.5266140173
"1_6_2013-02-22",13893.5266140173
"1_6_2013-03-01",14077.808714718
"1_6_2013-03-08",14077.808714718
"1_6_2013-03-15",14077.808714718
"1_6_2013-03-22",14077.808714718
"1_6_2013-03-29",14077.808714718
"1_6_2013-04-05",14262.0908154188
"1_6_2013-04-12",14262.0908154188
"1_6_2013-04-19",14262.0908154188
"1_6_2013-04-26",14262.0908154188
"1_6_2013-05-03",14446.3729161196
"1_6_2013-05-10",14446.3729161196
"1_6_2013-05-17",14446.3729161196
"1_6_2013-05-24",14446.3729161196
"1_6_2013-05-31",14446.3729161196
"1_6_2013-06-07",14630.6550168204
"1_6_2013-06-14",14630.6550168204
"1_6_2013-06-21",14630.6550168204
"1_6_2013-06-28",14630.6550168204
"1_6_2013-07-05",14814.9371175212
"1_6_2013-07-12",14814.9371175212
"1_6_2013-07-19",14814.9371175212
"1_6_2013-07-26",14814.9371175212
"1_7_2012-11-02",15800.1005271392
"1_7_2012-11-09",15800.1005271392
"1_7_2012-11-16",15800.1005271392
"1_7_2012-11-23",16605.5418602835
"1_7_2012-11-30",15800.1005271392
"1_7_2012-12-07",15984.3826278399
"1_7_2012-12-14",15984.3826278399
"1_7_2012-12-21",15984.3826278399
"1_7_2012-12-28",16789.8239609843
"1_7_2013-01-04",13821.0793240772
"1_7_2013-01-11",13821.0793240772
"1_7_2013-01-18",13821.0793240772
"1_7_2013-01-25",13821.0793240772
"1_7_2013-02-01",14005.361424778
"1_7_2013-02-08",14810.8027579223
"1_7_2013-02-15",14005.361424778
"1_7_2013-02-22",14005.361424778
"1_7_2013-03-01",14189.6435254787
"1_7_2013-03-08",14189.6435254787
"1_7_2013-03-15",14189.6435254787
"1_7_2013-03-22",14189.6435254787
"1_7_2013-03-29",14189.6435254787
"1_7_2013-04-05",14373.9256261795
"1_7_2013-04-12",14373.9256261795
"1_7_2013-04-19",14373.9256261795
"1_7_2013-04-26",14373.9256261795
"1_7_2013-05-03",14558.2077268803
"1_7_2013-05-10",14558.2077268803
"1_7_2013-05-17",14558.2077268803
"1_7_2013-05-24",14558.2077268803
"1_7_2013-05-31",14558.2077268803
"1_7_2013-06-07",14742.4898275811
"1_7_2013-06-14",14742.4898275811
"1_7_2013-06-21",14742.4898275811
"1_7_2013-06-28",14742.4898275811
"1_7_2013-07-05",14926.7719282819
"1_7_2013-07-12",14926.7719282819
"1_7_2013-07-19",14926.7719282819
"1_7_2013-07-26",14926.7719282819
"1_8_2012-11-02",15911.9353378999
"1_8_2012-11-09",15911.9353378999
"1_8_2012-11-16",15911.9353378999
"1_8_2012-11-23",16717.3766710443
"1_8_2012-11-30",15911.9353378999
"1_8_2012-12-07",16096.2174386007
"1_8_2012-12-14",16096.2174386007
"1_8_2012-12-21",16096.2174386007
"1_8_2012-12-28",16901.658771745
"1_8_2013-01-04",13932.9141348379
"1_8_2013-01-11",13932.9141348379
"1_8_2013-01-18",13932.9141348379
"1_8_2013-01-25",13932.9141348379
"1_8_2013-02-01",14117.1962355387
"1_8_2013-02-08",14922.6375686831
"1_8_2013-02-15",14117.1962355387
"1_8_2013-02-22",14117.1962355387
"1_8_2013-03-01",14301.4783362395
"1_8_2013-03-08",14301.4783362395
"1_8_2013-03-15",14301.4783362395
"1_8_2013-03-22",14301.4783362395
"1_8_2013-03-29",14301.4783362395
"1_8_2013-04-05",14485.7604369402
"1_8_2013-04-12",14485.7604369402
"1_8_2013-04-19",14485.7604369402
"1_8_2013-04-26",14485.7604369402
"1_8_2013-05-03",14670.042537641
"1_8_2013-05-10",14670.042537641
"1_8_2013-05-17",14670.042537641
"1_8_2013-05-24",14670.042537641
"1_8_2013-05-31",14670.042537641
"1_8_2013-06-07",14854.3246383418
"1_8_2013-06-14",14854.3246383418
"1_8_2013-06-21",14854.3246383418
"1_8_2013-06-28",14854.3246383418
"1_8_2013-07-05",15038.6067390426
"1_8_2013-07-12",15038.6067390426
"1_8_2013-07-19",15038.6067390426
"1_8_2013-07-26",15038.6067390426
"1_9_2012-11-02",16023.7701486606
"1_9_2012-11-09",16023.7701486606
"1_9_2012-11-16",16023.7701486606
"1_9_2012-11-23",16829.211481805
"1_9_2012-11-30",16023.7701486606
"1_9_2012-12-07",16208.0522493614
"1_9_2012-12-14",16208.0522493614
"1_9_2012-12-21",16208.0522493614
"1_9_2012-12-28",17013.4935825057
"1_9_2013-01-04",14044.7489455986
"1_9_2013-01-11",14044.7489455986
"1_9_2013-01-18",14044.7489455986
"1_9_2013-01-25",14044.7489455986
"1_9_2013-02-01",14229.0310462994
"1_9_2013-02-08",15034.4723794438
"1_9_2013-02-15",14229.0310462994
"1_9_2013-02-22",14229.0310462994
"1_9_2013-03-01",14413.3131470002
"1_9_2013-03-08",14413.3131470002
"1_9_2013-03-15",14413.3131470002
"1_9_2013-03-22",14413.3131470002
"1_9_2013-03-29",14413.3131470002
"1_9_2013-04-05",14597.5952477009
"1_9_2013-04-12",14597.5952477009
"1_9_2013-04-19",14597.5952477009
"1_9_2013-04-26",14597.5952477009
"1_9_2013-05-03",14781.8773484017
"1_9_2013-05-10",14781.8773484017
"1_9_2013-05-17",14781.8773484017
"1_9_2013-05-24",14781.8773484017
"1_9_2013-05-31",14781.8773484017
"1_9_2013-06-07",14966.1594491025
"1_9_2013-06-14",14966.1594491025
"1_9_2013-06-21",14966.1594491025
"1_9_2013-06-28",14966.1594491025
"1_9_2013-07-05",15150.4415498033
"1_9_2013-07-12",15150.4415498033
"1_9_2013-07-19",15150.4415498033
"1_9_2013-07-26",15150.4415498033
"1_10_2012-11-02",16135.6049594213
"1_10_2012-11-09",16135.6049594213
"1_10_2012-11-16",16135.6049594213
"1_10_2012-11-23",16941.0462925657
"1_10_2012-11-30",16135.6049594213
"1_10_2012-12-07",16319.8870601221
"1_10_2012-12-14",16319.8870601221
"1_10_2012-12-21",16319.8870601221
"1_10_2012-12-28",17125.3283932665
"1_10_2013-01-04",14156.5837563593
"1_10_2013-01-11",14156.5837563593
"1_10_2013-01-18",14156.5837563593
"1_10_2013-01-25",14156.5837563593
"1_10_2013-02-01",14340.8658570601
"1_10_2013-02-08",15146.3071902045
"1_10_2013-02-15",14340.8658570601
"1_10_2013-02-22",14340.8658570601
"1_10_2013-03-01",14525.1479577609
"1_10_2013-03-08",14525.1479577609
"1_10_2013-03-15",14525.1479577609
"1_10_2013-03-22",14525.1479577609
"1_10_2013-03-29",14525.1479577609
"1_10_2013-04-05",14709.4300584617
"1_10_2013-04-12",14709.4300584617
"1_10_2013-04-19",14709.4300584617
"1_10_2013-04-26",14709.4300584617
"1_10_2013-05-03",14893.7121591624
"1_10_2013-05-10",14893.7121591624
"1_10_2013-05-17",14893.7121591624
"1_10_2013-05-24",14893.7121591624
"1_10_2013-05-31",14893.7121591624
"1_10_2013-06-07",15077.9942598632
"1_10_2013-06-14",15077.9942598632
"1_10_2013-06-21",15077.9942598632
"1_10_2013-06-28",15077.9942598632
"1_10_2013-07-05",15262.276360564
"1_10_2013-07-12",15262.276360564
"1_10_2013-07-19",15262.276360564
"1_10_2013-07-26",15262.276360564
"1_11_2012-11-02",16247.439770182
"1_11_2012-11-09",16247.439770182
"1_11_2012-11-16",16247.439770182
"1_11_2012-11-23",17052.8811033264
"1_11_2012-11-30",16247.439770182
"1_11_2012-12-07",16431.7218708828
"1_11_2012-12-14",16431.7218708828
"1_11_2012-12-21",16431.7218708828
"1_11_2012-12-28",17237.1632040272
"1_11_2013-01-04",14268.41856712
"1_11_2013-01-11",14268.41856712
"1_11_2013-01-18",14268.41856712
"1_11_2013-01-25",14268.41856712
"1_11_2013-02-01",14452.7006678208
"1_11_2013-02-08",15258.1420009652
"1_11_2013-02-15",14452.7006678208
"1_11_2013-02-22",14452.7006678208
"1_11_2013-03-01",14636.9827685216
"1_11_2013-03-08",14636.9827685216
"1_11_2013-03-15",14636.9827685216
"1_11_2013-03-22",14636.9827685216
"1_11_2013-03-29",14636.9827685216
"1_11_2013-04-05",14821.2648692224
"1_11_2013-04-12",14821.2648692224
"1_11_2013-04-19",14821.2648692224
"1_11_2013-04-26",14821.2648692224
"1_11_2013-05-03",15005.5469699231
"1_11_2013-05-10",15005.5469699231
"1_11_2013-05-17",15005.5469699231
"1_11_2013-05-24",15005.5469699231
"1_11_2013-05-31",15005.5469699231
"1_11_2013-06-07",15189.8290706239
"1_11_2013-06-14",15189.8290706239
"1_11_2013-06-21",15189.8290706239
"1_11_2013-06-28",15189.8290706239
"1_11_2013-07-05",15374.1111713247
"1_11_2013-07-12",15374.1111713247
"1_11_2013-07-19",15374.1111713247
"1_11_2013-07-26",15374.1111713247
"1_12_2012-11-02",16359.2745809427
"1_12_2012-11-09",16359.2745809427
"1_12_2012-11-16",16359.2745809427
"1_12_2012-11-23",17164.7159140871
"1_12_2012-11-30",16359.2745809427
"1_12_2012-12-07",16543.5566816435
"1_12_2012-12-14",16543.5566816435
"1_12_2012-12-21",16543.5566816435
"1_12_2012-12-28",17348.9980147879
"1_12_2013-01-04",14380.2533778807
"1_12_2013-01-11",14380.2533778807
"1_12_2013-01-18",14380.2533778807
"1_12_2013-01-25",14380.2533778807
"1_12_2013-02-01",14564.5354785815
"1_12_2013-02-08",15369.9768117259
"1_12_2013-02-15",14564.5354785815
"1_12_2013-02-22",14564.5354785815
"1_12_2013-03-01",14748.8175792823
"1_12_2013-03-08",14748.8175792823
"1_12_2013-03-15",14748.8175792823
"1_12_2013-03-22",14748.8175792823
"1_12_2013-03-29",14748.8175792823
"1_12_2013-04-05",14933.0996799831
"1_12_2013-04-12",14933.0996799831
"1_12_2013-04-19",14933.0996799831
"1_12_2013-04-26",14933.0996799831
"1_12_2013-05-03",15117.3817806839
"1_12_2013-05-10",15117.3817806839
"1_12_2013-05-17",15117.3817806839
"1_12_2013-05-24",15117.3817806839
"1_12_2013-05-31",15117.3817806839
"1_12_2013-06-07",15301.6638813846
"1_12_2013-06-14",15301.6638813846
"1_12_2013-06-21",15301.6638813846
"1_12_2013-06-28",15301.6638813846
"1_12_2013-07-05",15485.9459820854
"1_12_2013-07-12",15485.9459820854
"1_12_2013-07-19",15485.9459820854
"1_12_2013-07-26",15485.9459820854
"1_13_2012-11-02",16471.1093917034
"1_13_2012-11-09",16471.1093917034
"1_13_2012-11-16",16471.1093917034
"1_13_2012-11-23",17276.5507248478
"1_13_2012-11-30",16471.1093917034
"1_13_2012-12-07",16655.3914924042
"1_13_2012-12-14",16655.3914924042
"1_13_2012-12-21",16655.3914924042
"1_13_2012-12-28",17460.8328255486
"1_13_2013-01-04",14492.0881886414
"1_13_2013-01-11",14492.0881886414
"1_13_2013-01-18",14492.0881886414
"1_13_2013-01-25",14492.0881886414
"1_13_2013-02-01",14676.3702893422
"1_13_2013-02-08",15481.8116224866
"1_13_2013-02-15",14676.3702893422
"1_13_2013-02-22",14676.3702893422
"1_13_2013-03-01",14860.652390043
"1_13_2013-03-08",14860.652390043
"1_13_2013-03-15",14860.652390043
"1_13_2013-03-22",14860.652390043
"1_13_2013-03-29",14860.652390043
"1_13_2013-04-05",15044.9344907438
"1_13_2013-04-12",15044.9344907438
"1_13_2013-04-19",15044.9344907438
"1_13_2013-04-26",15044.9344907438
"1_13_2013-05-03",15229.2165914446
"1_13_2013-05-10",15229.2165914446
"1_13_2013-05-17",15229.2165914446
"1_13_2013-05-24",15229.2165914446
"1_13_2013-05-31",15229.2165914446
"1_13_2013-06-07",15413.4986921453
"1_13_2013-06-14",15413.4986921453
"1_13_2013-06-21",15413.4986921453
"1_13_2013-06-28",15413.4986921453
"1_13_2013-07-05",15597.7807928461
"1_13_2013-07-12",15597.7807928461
"1_13_2013-07-19",15597.7807928461
"1_13_2013-07-26",15597.7807928461
"1_14_2012-11-02",16582.9442024641
"1_14_2012-11-09",16582.9442024641
"1_14_2012-11-16",16582.9442024641
"1_14_2012-11-23",17388.3855356085
"1_14_2012-11-30",16582.9442024641
"1_14_2012-12-07",16767.2263031649
"1_14_2012-12-14",16767.2263031649
"1_14_2012-12-21",16767.2263031649
"1_14_2012-12-28",17572.6676363093
"1_14_2013-01-04",14603.9229994021
"1_14_2013-01-11",14603.9229994021
"1_14_2013-01-18",14603.9229994021
"1_14_2013-01-25",14603.9229994021
"1_14_2013-02-01",14788.2051001029
"1_14_2013-02-08",15593.6464332473
"1_14_2013-02-15",14788.2051001029
"1_14_2013-02-22",14788.2051001029
"1_14_2013-03-01",14972.4872008037
"1_14_2013-03-08",14972.4872008037
"1_14_2013-03-15",14972.4872008037
"1_14_2013-03-22",14972.4872008037
"1_14_2013-03-29",14972.4872008037
"1_14_2013-04-05",15156.7693015045
"1_14_2013-04-12",15156.7693015045
"1_14_2013-04-19",15156.7693015045
"1_14_2013-04-26",15156.7693015045
"1_14_2013-05-03",15341.0514022053
"1_14_2013-05-10",15341.0514022053
"1_14_2013-05-17",15341.0514022053
"1_14_2013-05-24",15341.0514022053
"1_14_2013-05-31",15341.0514022053
"1_14_2013-06-07",15525.3335029061
"1_14_2013-06-14",15525.3335029061
"1_14_2013-06-21",15525.3335029061
"1_14_2013-06-28",15525.3335029061
"1_14_2013-07-05",15709.6156036068
"1_14_2013-07-12",15709.6156036068
"1_14_2013-07-19",15709.6156036068
"1_14_2013-07-26",15709.6156036068
"1_16_2012-11-02",16806.6138239855
"1_16_2012-11-09",16806.6138239855
"1_16_2012-11-16",16806.6138239855
"1_16_2012-11-23",17612.0551571299
"1_16_2012-11-30",16806.6138239855
"1_16_2012-12-07",16990.8959246863
"1_16_2012-12-14",16990.8959246863
"1_16_2012-12-21",16990.8959246863
"1_16_2012-12-28",17796.3372578307
"1_16_2013-01-04",14827.5926209236
"1_16_2013-01-11",14827.5926209236
"1_16_2013-01-18",14827.5926209236
"1_16_2013-01-25",14827.5926209236
"1_16_2013-02-01",15011.8747216244
"1_16_2013-02-08",15817.3160547687
"1_16_2013-02-15",15011.8747216244
"1_16_2013-02-22",15011.8747216244
"1_16_2013-03-01",15196.1568223251
"1_16_2013-03-08",15196.1568223251
"1_16_2013-03-15",15196.1568223251
"1_16_2013-03-22",15196.1568223251
"1_16_2013-03-29",15196.1568223251
"1_16_2013-04-05",15380.4389230259
"1_16_2013-04-12",15380.4389230259
"1_16_2013-04-19",15380.4389230259
"1_16_2013-04-26",15380.4389230259
"1_16_2013-05-03",15564.7210237267
"1_16_2013-05-10",15564.7210237267
"1_16_2013-05-17",15564.7210237267
"1_16_2013-05-24",15564.7210237267
"1_16_2013-05-31",15564.7210237267
"1_16_2013-06-07",15749.0031244275
"1_16_2013-06-14",15749.0031244275
"1_16_2013-06-21",15749.0031244275
"1_16_2013-06-28",15749.0031244275
"1_16_2013-07-05",15933.2852251283
"1_16_2013-07-12",15933.2852251283
"1_16_2013-07-19",15933.2852251283
"1_16_2013-07-26",15933.2852251283
"1_17_2012-11-02",16918.4486347463
"1_17_2012-11-09",16918.4486347463
"1_17_2012-11-16",16918.4486347463
"1_17_2012-11-23",17723.8899678906
"1_17_2012-11-30",16918.4486347463
"1_17_2012-12-07",17102.730735447
"1_17_2012-12-14",17102.730735447
"1_17_2012-12-21",17102.730735447
"1_17_2012-12-28",17908.1720685914
"1_17_2013-01-04",14939.4274316843
"1_17_2013-01-11",14939.4274316843
"1_17_2013-01-18",14939.4274316843
"1_17_2013-01-25",14939.4274316843
"1_17_2013-02-01",15123.7095323851
"1_17_2013-02-08",15929.1508655294
"1_17_2013-02-15",15123.7095323851
"1_17_2013-02-22",15123.7095323851
"1_17_2013-03-01",15307.9916330858
"1_17_2013-03-08",15307.9916330858
"1_17_2013-03-15",15307.9916330858
"1_17_2013-03-22",15307.9916330858
"1_17_2013-03-29",15307.9916330858
"1_17_2013-04-05",15492.2737337866
"1_17_2013-04-12",15492.2737337866
"1_17_2013-04-19",15492.2737337866
"1_17_2013-04-26",15492.2737337866
"1_17_2013-05-03",15676.5558344874
"1_17_2013-05-10",15676.5558344874
"1_17_2013-05-17",15676.5558344874
"1_17_2013-05-24",15676.5558344874
"1_17_2013-05-31",15676.5558344874
"1_17_2013-06-07",15860.8379351882
"1_17_2013-06-14",15860.8379351882
"1_17_2013-06-21",15860.8379351882
"1_17_2013-06-28",15860.8379351882
"1_17_2013-07-05",16045.120035889
"1_17_2013-07-12",16045.120035889
"1_17_2013-07-19",16045.120035889
"1_17_2013-07-26",16045.120035889
"1_18_2012-11-02",17030.283445507
"1_18_2012-11-09",17030.283445507
"1_18_2012-11-16",17030.283445507
"1_18_2012-11-23",17835.7247786514
"1_18_2012-11-30",17030.283445507
"1_18_2012-12-07",17214.5655462077
"1_18_2012-12-14",17214.5655462077
"1_18_2012-12-21",17214.5655462077
"1_18_2012-12-28",18020.0068793521
"1_18_2013-01-04",15051.262242445
"1_18_2013-01-11",15051.262242445
"1_18_2013-01-18",15051.262242445
"1_18_2013-01-25",15051.262242445
"1_18_2013-02-01",15235.5443431458
"1_18_2013-02-08",16040.9856762902
"1_18_2013-02-15",15235.5443431458
"1_18_2013-02-22",15235.5443431458
"1_18_2013-03-01",15419.8264438466
"1_18_2013-03-08",15419.8264438466
"1_18_2013-03-15",15419.8264438466
"1_18_2013-03-22",15419.8264438466
"1_18_2013-03-29",15419.8264438466
"1_18_2013-04-05",15604.1085445473
"1_18_2013-04-12",15604.1085445473
"1_18_2013-04-19",15604.1085445473
"1_18_2013-04-26",15604.1085445473
"1_18_2013-05-03",15788.3906452481
"1_18_2013-05-10",15788.3906452481
"1_18_2013-05-17",15788.3906452481
"1_18_2013-05-24",15788.3906452481
"1_18_2013-06-07",15972.6727459489
"1_18_2013-07-05",16156.9548466497
"1_19_2012-11-02",17142.1182562677
"1_19_2012-11-09",17142.1182562677
"1_19_2012-11-16",17142.1182562677
"1_19_2012-11-23",17947.5595894121
"1_19_2012-11-30",17142.1182562677
"1_19_2012-12-07",17326.4003569685
"1_19_2012-12-14",17326.4003569685
"1_19_2012-12-21",17326.4003569685
"1_19_2012-12-28",18131.8416901128
"1_19_2013-01-04",15163.0970532057
"1_19_2013-01-11",15163.0970532057
"1_19_2013-01-18",15163.0970532057
"1_19_2013-01-25",15163.0970532057
"1_19_2013-02-01",15347.3791539065
"1_19_2013-02-08",16152.8204870509
"1_19_2013-02-15",15347.3791539065
"1_19_2013-02-22",15347.3791539065
"1_19_2013-03-01",15531.6612546073
"1_19_2013-03-08",15531.6612546073
"1_19_2013-03-15",15531.6612546073
"1_19_2013-03-22",15531.6612546073
"1_19_2013-03-29",15531.6612546073
"1_19_2013-04-05",15715.943355308
"1_19_2013-04-12",15715.943355308
"1_19_2013-04-19",15715.943355308
"1_19_2013-04-26",15715.943355308
"1_19_2013-05-03",15900.2254560088
"1_19_2013-05-10",15900.2254560088
"1_19_2013-05-17",15900.2254560088
"1_19_2013-05-24",15900.2254560088
"1_19_2013-05-31",15900.2254560088
"1_19_2013-06-07",16084.5075567096
"1_19_2013-06-14",16084.5075567096
"1_19_2013-06-21",16084.5075567096
"1_19_2013-06-28",16084.5075567096
"1_19_2013-07-05",16268.7896574104
"1_19_2013-07-12",16268.7896574104
"1_19_2013-07-19",16268.7896574104
"1_19_2013-07-26",16268.7896574104
"1_20_2012-11-02",17253.9530670284
"1_20_2012-11-09",17253.9530670284
"1_20_2012-11-16",17253.9530670284
"1_20_2012-11-23",18059.3944001728
"1_20_2012-11-30",17253.9530670284
"1_20_2012-12-07",17438.2351677292
"1_20_2012-12-14",17438.2351677292
